Nama Produk,Nama Toko,Jenis Review,Waktu Review,Isi Review
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,2 bulan lalu,"PS5nya berjalan dengan lancar, barang mulus. so far keren dapat harga murah pas 12.12 tapi ORI"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Barang berfungsi dengan baik, terimakasih cici dan koko, pelayanan sangat ramah sekali saat ngambil Ps ke toko, Pse terbaik dah 👍👍👍"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Kondisi barang baik, pengiriman cukup cepat dapat promo 12 12 semoga awet dan sering ada promo lagi Semoga untuk pengiriman kedepannya bisa menggunakan packing kayu Sukse... Selengkapnya"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"akhirnya bisa beli ps5, dari pengiriman ga ada masalah, malah terbilang cepat 3 hari sudah sampai, kondisi ps5 juga masih bagus ga ada cacat, harga sudah stabil dibanding... Selengkapnya"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"PS nya original, sesuai semua dgn keterangan yang ada, berjalan lancar, semoga awet tidak ada kendala ya"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Barang sesuai deskripsi, pelayanan cepat, packingnya rapih, thanks ya gan"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"terimakasih PS Enterprise, Kondisi PS5 nya bener2 BNIB dan garansi resmi Sony Indonesia. mungkin next bisa ada pilihan optional untuk penambahan packing kayu"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,11 bulan lalu,"mantap, nyampe tinggal pasang terus main wkwk"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,4 bulan lalu,Mendarat dengan selamat. sempat khawatir karena jauh dan dus bagian depan agak sedikit penyok. Alhamdulilah semua berjalan dengan normal
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,PS5 varian digital slim. Barang sampai dalam keadaan baik dan berfungsi dengan baik. Produk dikemas dengan bubble wrap dan kardus ekstra Untuk masukan agar bubble wrap d... Selengkapnya
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"peak bang , mau beli elden ring tapi belum ada uang 😭😭😭"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"packing rapih (dapet bag💙), ngeri banget kondisi preloved cuma mulus banget, langsung nge-run lancar, thankyouu"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Barang sampai aman, packing bagus, pengiriman satset"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Barang lengkap, sealed, ori garansi indo - tapi mau di register kok ga bisa ya? box penyok bagian bawah, lebih krn kurir sih :("
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"PS5 Digital Edition, incl. 1 stick, 1 kabel charger stick type C to type C, 1 kabel HDMI, 1 kabel listrik & kartu garansi Sony Indonesia. Order tgl 5 April, Jumat,... Selengkapnya"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"barangnya mendarat dengan selamat, semoga awet"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,3 bulan lalu,"Barangnya lengkap, semuanya lancar pas di pake, pengiriman sangat cepat, seller cepat membalas chat, ada garansi juga insyaallah aman."
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,2 minggu lalu,Sayangnya buble warp cuma selapis. KARDUSNYA PENYOK PARAH. Untung nggak sampe PS nya pecah. PS nya Bukan JP kelihatanya dilihat dari colokanya. Tapi dari Australi atau n... Selengkapnya
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,9 bulan lalu,barang sudah sampai dengan selamat.. baru mau dicoba.. semoga lancar jaya.. pokoknya mantul toko ini.. diskonnya gila-gilaan..
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,5 bulan lalu,kualitas baranag original garansi resmi indonesia pengiriman cepat respon penjual Low hampir aja ga jd beli tadi kr lama d jawabnya....cuma kr dah sering beli console... Selengkapnya
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,2 bulan lalu,"barang sudah sampai baru diunboxing sama di test lancar, thank you PSE"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,3 bulan lalu,"padahal order jam 6 sore, tapi langsung dikirim hari itu juga, dan jam 1 siangnya sudah sampai rumah. gercep buat pse & jne 👏"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"barang original, semua berfungsi baik dan toko recommended dan terpercaya👍🏻"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Proses cepat jadi bisa main di hari yang sama thank you yaa
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,11 bulan lalu,"terima kasih kak..mantap bener ps5 slim digital nya.. order disini terpercaya, komunikasi nya baik . respon nya baik..segalanya di mudahkan..jgn ragu beli disini.."
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Pesanan sudah diterima dengan baik, terima kasih dan sukses selalu!"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Mantap barang mulus Berfungsi dengan baik Pengiriman cepat
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"bagus banget, pelayanannya mantab, semua kerasa masih fresh banget"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Mantap. Walaupun setup bahasa jepang tapi bisalah pake translator. Belum ada yang bisa dikomplain selain itu.
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"pengiriman cepat, PSE gak pernah mengecewakan, Thanks"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"barangnya aman, seller cepat, sesuai dengan deskripsi"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,sip lah PSE..gak ragu beli di toko ini..
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,4 bulan lalu,"luar biasa pengiriman sangat cepat cuma 2 hari barang sampai dengan aman, kondisi baru semua berfungsi dengan baik.."
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"PROS: 1. Ukurannya mungil klo dibanding pendahulunya, terlihat ramping dari depan dan dihiasi LED indikator yang sayangnya pindah ke bagian bawah di versi slim ini. 2. Cu... Selengkapnya"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,2 bulan lalu,"kondisi perfect, proses toko sat set sat set. mantap"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,1 bulan lalu,"Pengiriman cepat dan aman, garansi indo, semoga awet"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,2 bulan lalu,"Mantap, admin nya baik mau bales kalau bayak tanya wkwkwk. Terimakasi"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,2 bulan lalu,"Barang lengkap, penjual ramah, pengiriman cepat,."
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,6 bulan lalu,"prosesnya cepet, barangnya fresh like new… fix langganan klo gini mah ceritanya 😆😆"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,6 bulan lalu,"Sesuai deskripsi, pengemasan paketnya cukup aja, mungkin bisa lebih baik lagi 😅 Recsell 👍"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,8 bulan lalu,"PSny sampai dengan aman,cmn agak was was karna pengirimanny agak lama"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,4 bulan lalu,"terimakasih PS enterprise, unit aman & yg terpenting masih tersegel"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Mantap banget pokoknya ps nya sampe dengan selamat walaupun agak peot dikit di kardusnya tapi sisanya semua aman dan berfungsi dengan baik top lah ini toko👍👍
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Brang lengkap,kualitas baik. Recommended seller Semoga barangnya awet"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Terima kasih barang mendarat dengan sempurna dan berjalan dengan mantap
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Kalau cari video game pasti ke PSE, kualitas terjamin"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Kirim ke Kalimantan Tengah tepat 6 hari barang diterima. PS5 Slim Digital bnib lancar jaya. Terimakasih!!
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,11 bulan lalu,Dikira bakal lama datengnya tpi 2 hari udh nyampe 👍🏻👍🏻
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"barang lengkap, pengiriman cepat ..terima kasih PSe"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Recommended Seller: Pertanyaan dijawab dengan cepat | fast response | sabar dengan pertanyaan² yang aneh haha Kualitas barang: Mantap kemarin beli PS5 sama 2 stik | Yang... Selengkapnya
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"got the product with good condition, all functions run smoothly, delivery was fast"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"pengiriman kilat, barang sesuai deskripsi. puas deh. recommended seller"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Gils langsung dikirim instany padahal pesen jam 4 lewat, barang mulus pokoknya gausah ragu beli disini!"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,barang super kilat dan aman padahal dikirim le luar pulau
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,5 bulan lalu,"Paket sudah diterima dengan baik, terima kasih 🙏🏽🙂"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"Barang sampai dengan selamat dan aman, masih tersegel juga, cuma blx agak penyok. Tapi itu semua kesalahan dari kurir sih, mantap, moga makin sukses Ci Merry 😀"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"selalu puas belanja di pse, barang cepet sampe, original, garansi, topppp 👍👍👍👍"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,Packaging rapih dan aman. Pengiriman dan pelayanan cepat. 👍
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,"barang bagus, kelengkapan aman semua, harga worth it banget buat kelasnua"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,Lebih dari 1 tahun lalu,lumayan beli kena diskon 4-4..joss..Barangnya ori.sudah didaftarkan ke sonynya.tp pengiriman via gojeknya extrim..merembes smpe ke kardus2..gojeknya juga main buka pembun... Selengkapnya
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,3 bulan lalu,"Pengalaman cukup puas, barang sesuai pesanan"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,4 bulan lalu,Semoga aman aman aja kualitas bagus dan ok
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,11 bulan lalu,"mantap bgt belanja di toko ini, thanks ko!"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,2 bulan lalu,barang sampai dan berfungsi dengan baik
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,4 minggu lalu,Mantap langsung beli game forza horizon
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,3 bulan lalu,"checkout jam 3, jam 5 kurang barang udah sampe, mantap sat set. so far so good sih, udah setup, udah test main beberapa game lancar jaya. mungkin sedikit saran, karena... Selengkapnya"
"PlayStation 5 PS5 PS 5 Console Digital Edition Slim - New 30 Hari, 1 STIK",PS Enterprise Official,produk,3 bulan lalu,barang diterima lengkap dan cepat
